state,value
1110,0.0161
1111,0.0236
0110,0.0339
1000,0.139
0011,0.0457
1001,0.0311
0001,0.0233
1101,0.138
0111,0.155
0100,0.219
0010,0.144
1010,0.0440
0000,0.0674
1100,0.0409
1011,0.0273
0101,0.0493
